author,year,cases,total,province
Liu,1997,78,85,Xinjiang
Zuo,2000,57,64,Xinjiang
Ma,2004,70,102,Xinjiang
Wang,2004,34,106,Xinjiang
Li,1994,187,197,Yunnan
Gu,1995,247,407,Yunnan
Kong,1995,99,144,Yunnan
Zhou,1995,41,58,Yunnan
Chen,2000,27,37,Yunnan
Yang,2000,172,182,Yunnan
Zhang,2000,96,125,Yunnan
Jiang,2003,94,118,Yunnan
Li,2004,261,381,Yunnan
Liu,1997,16,60,Guizhou
Yang,2000,54,107,Guizhou
Zhuang,2000,148,285,Guizhou
He,2006,57,90,Guizhou
Fang,2001,115,284,Chongqing
Mou,2001,133,498,Chongqing
Yang,2001,62,177,Sichuan
Ruan,2004,269,379,Sichuan
Zhang,2005,95,123,Sichuan
Xie,2006,275,370,Sichuan
Tang,1994,25,53,Guangdong
Shi,1998,79,121,Guangdong
Wan,1997,27,119,Guangdong
Yan,1997,398,543,Guangdong
Mai,1999,112,142,Guangdong
Wei,1999,58,86,Guangdong
Yang,1999,320,419,Guangdong
Hu,2000,89,120,Guangdong
Gu,2002,177,205,Guangdong
Huang,2003,1409,2640,Guangdong
Chen,2004,289,716,Guangdong
Li,2004,232,235,Guangdong
Wang,2004,294,508,Guangdong
Tang,1996,66,91,Guangxi
Bi,1998,69,77,Guangxi
Lin,1999,39,58,Guangxi
Wu,1999,104,113,Guangxi
Liang,2000,186,208,Guangxi
Garten,2004,402,485,Guangxi
Wang,2000,63,174,Hainan
Yang,2000,56,97,Hainan
Tang,2000,444,480,Hubei
Deng,2003,48,62,Hubei
Zhao,1999,34,106,Hunan
Peng,2006,222,252,Hunan
He,2004,26,87,Jiangxi
Hu,2003,96,276,Shanghai
Zhao,2005,47,101,Shanghai
Zhao,2006,73,141,Shanghai
Yin,1999,45,68,Jiangsu
Gao,2001,48,68,Jiangsu
Ji,2001,15,40,Jiangsu
Zhu,1999,14,64,Zhejiang
Chen,2003,79,265,Zhejiang
Zhou,2004,130,306,Zhejiang
Li,2005,71,114,Zhejiang
Wang,2001,5,32,Shanxi
Zhang,2002,14,51,Shanxi
Wang,2002,149,307,Beijing
Guo,2003,351,525,Beijing
Zhang,2006,122,232,Beijing
Jiang,2002,50,70,Liaoning
